dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R2 S3,MAD,<Rc3kmmq>,0.3116883116883117,0.46622053342022424,77,0.20755202062636993,0.41582460275025346
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R2 S5,MAD,<Rc3kmmq>,0.3246753246753247,0.47132395947782424,77,0.2193991184375142,0.42995153091313515
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R2 S7,MAD,<Rc3kmmq>,0.2857142857142857,0.4547163041867237,77,0.18414761069888408,0.3872809607296873
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R3 S3,MAD,<Rc3kmmq>,0.35064935064935066,0.4803023654629546,77,0.24336770314090211,0.4579309981577992
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R3 S5,MAD,<Rc3kmmq>,0.33766233766233766,0.47601386563146547,77,0.23133858118325848,0.4439860941414169
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R3 S7,MAD,<Rc3kmmq>,0.38961038961038963,0.4908597225878863,77,0.2799706219944,0.4992501572263793
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W3 L3,MoA,<Rc3kmmq>,0.24675324675324675,0.4339489466650291,77,0.14982522540588794,0.34368126810060556
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W3 L4,MoA,<Rc3kmmq>,0.2727272727272727,0.44828220776542427,77,0.17259773505272072,0.3728568104018247
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W3 L5,MoA,<Rc3kmmq>,0.24675324675324675,0.43394894666502903,77,0.14982522540588794,0.34368126810060556
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W4 L3,MoA,<Rc3kmmq>,0.2597402597402597,0.44136741475237473,77,0.16115522910952548,0.3583252903709939
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W4 L4,MoA,<Rc3kmmq>,0.2597402597402597,0.4413674147523747,77,0.1611552291095255,0.3583252903709939
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W4 L5,MoA,<Rc3kmmq>,0.2987012987012987,0.4606898450017809,77,0.19580035730251044,0.40160224010008694
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W5 L3,MoA,<Rc3kmmq>,0.22077922077922077,0.4174917781534154,77,0.12752711751639667,0.31403132404204487
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W5 L4,MoA,<Rc3kmmq>,0.2077922077922078,0.4083877909943188,77,0.11657359595385802,0.2990108196305576
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W5 L5,MoA,<Rc3kmmq>,0.19480519480519481,0.3986477484460184,77,0.10576214545939462,0.283848244150995
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.2857142857142857,0.4547163041867237,77,0.18414761069888408,0.3872809607296873
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.2727272727272727,0.44828220776542427,77,0.17259773505272072,0.3728568104018247
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.24675324675324675,0.43394894666502914,77,0.14982522540588794,0.34368126810060556
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.2987012987012987,0.4606898450017809,77,0.19580035730251044,0.40160224010008694
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.3116883116883117,0.4662205334202241,77,0.20755202062636996,0.4158246027502534
FANToM,BeliefQ_Choice_First_Order,<qLKSiki>,Vanilla,<qLKSiki>,0.4025974025974026,0.49363688603701666,77,0.2923373201721453,0.5128574850226599
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> + CoT,CoT,<qLKSiki>,0.4935064935064935,0.5032362797401965,77,0.38110226429868455,0.6059107227143025
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R1 S3,MAD,<qLKSiki>,0.4675324675324675,0.5022165496554036,77,0.3553560080201192,0.5797089270448159
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R1 S5,MAD,<qLKSiki>,0.4675324675324675,0.5022165496554036,77,0.3553560080201192,0.5797089270448159
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R1 S7,MAD,<qLKSiki>,0.4805194805194805,0.502896599458671,77,0.368191123226633,0.5928478378123281
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R2 S3,MAD,<qLKSiki>,0.4805194805194805,0.502896599458671,77,0.368191123226633,0.5928478378123281
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R2 S5,MAD,<qLKSiki>,0.4675324675324675,0.5022165496554036,77,0.3553560080201192,0.5797089270448159
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R2 S7,MAD,<qLKSiki>,0.4805194805194805,0.502896599458671,77,0.368191123226633,0.5928478378123281
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R3 S3,MAD,<qLKSiki>,0.5064935064935064,0.5032362797401965,77,0.3940892772856975,0.6188977357013155
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R3 S5,MAD,<qLKSiki>,0.4805194805194805,0.5028965994586712,77,0.36819112322663294,0.5928478378123281
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R3 S7,MAD,<qLKSiki>,0.4675324675324675,0.5022165496554036,77,0.3553560080201192,0.5797089270448159
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.4155844155844156,0.4960541500218804,77,0.30478440647670474,0.5263844246921264
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W3 L4,MoA,<qLKSiki>,0.4025974025974026,0.49363688603701666,77,0.2923373201721453,0.5128574850226599
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W3 L5,MoA,<qLKSiki>,0.4155844155844156,0.4960541500218804,77,0.30478440647670474,0.5263844246921264
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W4 L3,MoA,<qLKSiki>,0.4025974025974026,0.4936368860370168,77,0.2923373201721453,0.5128574850226599
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W4 L4,MoA,<qLKSiki>,0.42857142857142855,0.4981167541368988,77,0.3173107105779649,0.5398321465648922
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W4 L5,MoA,<qLKSiki>,0.44155844155844154,0.4998290890396145,77,0.32991525176667125,0.5532016313502118
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W5 L3,MoA,<qLKSiki>,0.4155844155844156,0.4960541500218804,77,0.30478440647670474,0.5263844246921264
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W5 L4,MoA,<qLKSiki>,0.38961038961038963,0.4908597225878863,77,0.2799706219944,0.4992501572263793
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W5 L5,MoA,<qLKSiki>,0.37662337662337664,0.487716511676745,77,0.26768568517702807,0.4855610680697252
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.42857142857142855,0.4981167541368987,77,0.3173107105779649,0.5398321465648922
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.4155844155844156,0.4960541500218804,77,0.30478440647670474,0.5263844246921264
FANToM,BeliefQ_Choice_First_Order,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.4155844155844156,0.4960541500218804,77,0.30478440647670474,0.5263844246921264
